models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
Qwen2.5-3B-Instruct,openbookqa,0.76,263.394,80.362,0.2,0.25
Qwen2.5-3B-Instruct,openbookqa,0.76,260.128,89.408,0.2,1
Qwen2.5-3B-Instruct,openbookqa,0.76,259.682,82.512,0.4,0.75
Qwen2.5-3B-Instruct,openbookqa,0.758,258.974,78.942,0.4,0.25
Qwen2.5-3B-Instruct,openbookqa,0.746,255.442,75.746,0.6,0.25
Qwen2.5-3B-Instruct,openbookqa,0.746,253.672,89.08,0.8,0.5
Qwen2.5-3B-Instruct,openbookqa,0.738,250.688,77.91,0.6,0.5
Qwen2.5-3B-Instruct,openbookqa,0.736,245.496,64.756,0.4,1
Qwen2.5-3B-Instruct,openbookqa,0.734,242.372,89.102,0.8,1
Qwen2.5-3B-Instruct,openbookqa,0.728,258.4,90.398,0.8,0.25
Qwen2.5-3B-Instruct,openbookqa,0.72,255.056,82.678,0.6,0.75
Qwen2.5-3B-Instruct,openbookqa,0.714,248.684,80.276,0.8,0.75
Qwen2.5-3B-Instruct,openbookqa,0.688,237.26,74.592,0.6,1
Qwen2.5-7B-Instruct,aime_2024,0.25,1126.35,73.8,0.8,0.25
Qwen2.5-7B-Instruct,aime_2024,0.2,1208.65,97.6,0.4,0.25
Qwen2.5-7B-Instruct,aime_2024,0.2,1850.4,103.2,0.4,0.75
Qwen2.5-7B-Instruct,aime_2024,0.2,1817.65,97.6,0.4,1
Qwen2.5-7B-Instruct,aime_2024,0.2,1039.45,75,0.6,0.25
